drug_name,inchikey,Metadata_JCP2022,Metadata_InChIKey
Gefitinib,XGALLCVXEZPNRQ-UHFFFAOYSA-N,JCP2022_103415,XGALLCVXEZPNRQ-UHFFFAOYSA-N
Vorinostat,WAEXFXRVDQXREF-UHFFFAOYSA-N,JCP2022_097466,WAEXFXRVDQXREF-UHFFFAOYSA-N
Nilotinib,HHZIURLSWUIHRB-UHFFFAOYSA-N,JCP2022_030328,HHZIURLSWUIHRB-UHFFFAOYSA-N
Olaparib,FDLYAMZZIXQODN-UHFFFAOYSA-N,JCP2022_019945,FDLYAMZZIXQODN-UHFFFAOYSA-N
Bosutinib,UBPYILGKFZZVDX-UHFFFAOYSA-N,JCP2022_088147,UBPYILGKFZZVDX-UHFFFAOYSA-N
Lenalidomide,GOTYRUGSSMKFNF-UHFFFAOYSA-N,JCP2022_026844,GOTYRUGSSMKFNF-UHFFFAOYSA-N
SB216763,JCSGFHVFHSKIJH-UHFFFAOYSA-N,JCP2022_038917,JCSGFHVFHSKIJH-UHFFFAOYSA-N
Motesanib,RAHBGWKEPAQNFF-UHFFFAOYSA-N,JCP2022_077046,RAHBGWKEPAQNFF-UHFFFAOYSA-N
KU-55933,XRKYMMUGXMWDAO-UHFFFAOYSA-N,JCP2022_105539,XRKYMMUGXMWDAO-UHFFFAOYSA-N
Elesclomol,BKJIXTWSNXCKJH-UHFFFAOYSA-N,JCP2022_006922,BKJIXTWSNXCKJH-UHFFFAOYSA-N
Vismodegib,BPQMGSKTAYIVFO-UHFFFAOYSA-N,JCP2022_007866,BPQMGSKTAYIVFO-UHFFFAOYSA-N
PLX-4720,YZDJQTHVDDOVHR-UHFFFAOYSA-N,JCP2022_111823,YZDJQTHVDDOVHR-UHFFFAOYSA-N
BX795,VAVXGGRQQJZYBL-UHFFFAOYSA-N,JCP2022_092763,VAVXGGRQQJZYBL-UHFFFAOYSA-N
NU7441,JAMULYFATHSZJM-UHFFFAOYSA-N,JCP2022_038518,JAMULYFATHSZJM-UHFFFAOYSA-N
JNK Inhibitor VIII,KQMPRSZTUSSXND-UHFFFAOYSA-N,JCP2022_046352,KQMPRSZTUSSXND-UHFFFAOYSA-N
PD173074,DXCUKNQANPLTEJ-UHFFFAOYSA-N,JCP2022_018749,DXCUKNQANPLTEJ-UHFFFAOYSA-N
ZM447439,OGNYUTNQZVRGMN-UHFFFAOYSA-N,JCP2022_063654,OGNYUTNQZVRGMN-UHFFFAOYSA-N
RO-3306,XOLMRFUGOINFDQ-UHFFFAOYSA-N,JCP2022_104973,XOLMRFUGOINFDQ-UHFFFAOYSA-N
MK-2206,ULDXWLCXEDXJGE-UHFFFAOYSA-N,JCP2022_089937,ULDXWLCXEDXJGE-UHFFFAOYSA-N
Palbociclib,AHJRHEGDXFFMBM-UHFFFAOYSA-N,JCP2022_001418,AHJRHEGDXFFMBM-UHFFFAOYSA-N
Pictilisib,LHNIIDJUOCFXAP-UHFFFAOYSA-N,JCP2022_049468,LHNIIDJUOCFXAP-UHFFFAOYSA-N
SB590885,MLSAQOINCGAULQ-UHFFFAOYSA-N,JCP2022_054955,MLSAQOINCGAULQ-UHFFFAOYSA-N
Selumetinib,CYOHGALHFOKKQC-UHFFFAOYSA-N,JCP2022_014282,CYOHGALHFOKKQC-UHFFFAOYSA-N
5-Fluorouracil,GHASVSINZRGABV-UHFFFAOYSA-N,JCP2022_025400,GHASVSINZRGABV-UHFFFAOYSA-N
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,JCP2022_112280,ZBNZXTGUTAYRHI-UHFFFAOYSA-N
Sorafenib,MLDQJTXFUGDVEO-UHFFFAOYSA-N,JCP2022_054847,MLDQJTXFUGDVEO-UHFFFAOYSA-N
GSK1904529A,MOSKATHMXWSZTQ-UHFFFAOYSA-N,JCP2022_055545,MOSKATHMXWSZTQ-UHFFFAOYSA-N
Tozasertib,GCIKSSRWRFVXBI-UHFFFAOYSA-N,JCP2022_024529,GCIKSSRWRFVXBI-UHFFFAOYSA-N
PF-4708671,FBLPQCAQRNSVHB-UHFFFAOYSA-N,JCP2022_019559,FBLPQCAQRNSVHB-UHFFFAOYSA-N
PRIMA-1MET,BGBNULCRKBVAKL-UHFFFAOYSA-N,JCP2022_006103,BGBNULCRKBVAKL-UHFFFAOYSA-N
Serdemetan,CEGSUKYESLWKJP-UHFFFAOYSA-N,JCP2022_010566,CEGSUKYESLWKJP-UHFFFAOYSA-N
TW 37,PQAPVTKIEGUPRN-UHFFFAOYSA-N,JCP2022_070246,PQAPVTKIEGUPRN-UHFFFAOYSA-N
Erlotinib,AAKJLRGGTJKAMG-UHFFFAOYSA-N,JCP2022_000088,AAKJLRGGTJKAMG-UHFFFAOYSA-N
Rucaparib,HMABYWSNWIZPAG-UHFFFAOYSA-N,JCP2022_031078,HMABYWSNWIZPAG-UHFFFAOYSA-N
MK-1775,BKWJAKQVGHWELA-UHFFFAOYSA-N,JCP2022_006998,BKWJAKQVGHWELA-UHFFFAOYSA-N
GSK269962A,YOVNFNXUCOWYSG-UHFFFAOYSA-N,JCP2022_109834,YOVNFNXUCOWYSG-UHFFFAOYSA-N
SB505124,WGZOTBUYUFBEPZ-UHFFFAOYSA-N,JCP2022_098688,WGZOTBUYUFBEPZ-UHFFFAOYSA-N
YK-4-279,HLXSCTYHLQHQDJ-UHFFFAOYSA-N,JCP2022_031063,HLXSCTYHLQHQDJ-UHFFFAOYSA-N
XAV939,KLGQSVMIPOVQAX-UHFFFAOYSA-N,JCP2022_045362,KLGQSVMIPOVQAX-UHFFFAOYSA-N
Trametinib,LIRYPHYGHXZJBZ-UHFFFAOYSA-N,JCP2022_049703,LIRYPHYGHXZJBZ-UHFFFAOYSA-N
Dabrafenib,BFSMGDJOXZAERB-UHFFFAOYSA-N,JCP2022_006029,BFSMGDJOXZAERB-UHFFFAOYSA-N
Temozolomide,BPEGJWRSRHCHSN-UHFFFAOYSA-N,JCP2022_007768,BPEGJWRSRHCHSN-UHFFFAOYSA-N
AZD5438,WJRRGYBTGDJBFX-UHFFFAOYSA-N,JCP2022_099219,WJRRGYBTGDJBFX-UHFFFAOYSA-N
AZD1332,LBVKEEFIPBQIMD-UHFFFAOYSA-N,JCP2022_048448,LBVKEEFIPBQIMD-UHFFFAOYSA-N
Bicalutamide,LKJPYSCBVHEWIU-UHFFFAOYSA-N,JCP2022_049996,LKJPYSCBVHEWIU-UHFFFAOYSA-N
