drug_name,pathway,shap_morpho_total,shap_morgan_total,morpho_pct
Gefitinib,EGFR signaling,0.0005726340430937538,0.00010173783600404135,84.91368944088374
Vorinostat,Chromatin histone acetylation,0.0016857994306380922,4.712095953024269e-05,97.28083529990288
Nilotinib,ABL signaling,0.000975847417618381,8.844147303447084e-05,91.69008773734174
Olaparib,Genome integrity,0.0007426268186429588,5.697393703650699e-05,92.87470195196438
Bosutinib,"Other, kinases",0.0012585537187523156,8.618989226800099e-05,93.59060778860255
Lenalidomide,Protein stability and degradation,0.0007869528336617775,0.0001387864522552863,85.00804120916176
SB216763,WNT signaling,0.0011958252979106321,0.00011095815410471638,91.50906342335492
Motesanib,RTK signaling,0.0008823919747502618,0.00022989081490732213,79.33162168425766
KU-55933,Genome integrity,0.0010200115030843458,0.00016366779292322636,86.17296141993351
Elesclomol,Protein stability and degradation,0.001577335764167948,5.7566050609656e-05,96.47892918771475
Vismodegib,Other,0.0008800992965130121,0.00010976791910929343,88.91084406303071
PLX-4720,ERK MAPK signaling,0.0008079489259629983,9.901707173996582e-05,89.08260375904473
BX795,"Other, kinases",0.001003317702308726,5.571579156732256e-05,94.73899627448009
NU7441,Genome integrity,0.00078848889552181,8.667418458281357e-05,90.09622474334134
JNK Inhibitor VIII,JNK and p38 signaling,0.0010316585798401164,0.00013137520442069953,88.70409387942269
PD173074,RTK signaling,0.0008887336091252106,0.00012783179205460085,87.42512858432512
ZM447439,Mitosis,0.0008543839724486342,7.803543783230693e-05,91.6308651480352
RO-3306,Cell cycle,0.0012606932487911995,9.14401001597732e-05,93.23734598878762
MK-2206,PI3K/MTOR signaling,0.0008353497559605588,6.881136480983566e-05,92.38947979191975
Palbociclib,Cell cycle,0.0016914998853626122,8.953822431392172e-05,94.97269464210491
Pictilisib,PI3K/MTOR signaling,0.0015830314420525074,9.041097616702435e-05,94.59730581807423
SB590885,ERK MAPK signaling,0.001061281559008972,8.775771637023328e-05,92.36251377558253
Selumetinib,ERK MAPK signaling,0.0008148979595727514,9.784324875624934e-05,89.28028581777569
5-Fluorouracil,Other,0.0006780140431843158,6.479349443671754e-05,91.27721635078856
Dasatinib,"Other, kinases",0.0013119880765502681,6.295159700432196e-05,95.42150116000543
Sorafenib,"Other, kinases",0.0007146545809345883,0.00010265959727849092,87.43939601011952
GSK1904529A,IGF1R signaling,0.0006662893360219003,9.562009812274456e-05,87.44993908231467
Tozasertib,Mitosis,0.001461885465915226,5.3574213797771397e-05,96.46482090451146
PF-4708671,PI3K/MTOR signaling,0.0007541989998703989,0.0001042299487763916,87.8580575665933
PRIMA-1MET,p53 pathway,0.0007915033956034607,8.510191282174416e-05,90.29187799756458
Serdemetan,p53 pathway,0.000601712140408441,6.07079782946403e-05,90.83542655475239
TW 37,Apoptosis regulation,0.0019611263818590987,6.56178656050409e-05,96.76240030348467
Erlotinib,EGFR signaling,0.00076885332318094,0.00012004562504586667,86.49502001489189
Rucaparib,Genome integrity,0.0007876372135990766,4.97963297732126e-05,94.05369773311372
MK-1775,Cell cycle,0.002244599120003041,6.0514160889270016e-05,97.37478581244194
GSK269962A,Cytoskeleton,0.00231143537041854,0.0001339542414809181,94.52217181143298
SB505124,RTK signaling,0.0011811251610334514,8.459488855876683e-05,93.31646136236674
YK-4-279,Other,0.0008832565862361807,4.948258779772813e-05,94.69491695264325
XAV939,WNT signaling,0.000601867128394838,9.116444152846691e-05,86.84555718889463
Trametinib,ERK MAPK signaling,0.0008221114111620116,3.849693435457222e-05,95.52677654648303
Dabrafenib,ERK MAPK signaling,0.0005201708572251263,5.900968031207626e-05,89.81152223052973
Temozolomide,DNA replication,0.0012085396879963895,0.0002222927086093684,84.46409872066816
AZD5438,Cell cycle,0.0010461131093393841,4.8473841909254384e-05,95.57149463055829
