feature,shap_importance,compartment,feature_type
Cells_AreaShape_Zernike_5_1,0.007510544471193238,Cells,AreaShape
Cytoplasm_RadialDistribution_MeanFrac_AGP_1of4,0.007098158396630814,Cytoplasm,RadialDistribution
Cytoplasm_RadialDistribution_MeanFrac_AGP_3of4,0.006987623002131126,Cytoplasm,RadialDistribution
Cells_RadialDistribution_RadialCV_mito_tubeness_12of16,0.006225332721887753,Cells,RadialDistribution
Cytoplasm_RadialDistribution_MeanFrac_AGP_2of4,0.006224079249763495,Cytoplasm,RadialDistribution
Cells_AreaShape_Zernike_4_2,0.006212804797230222,Cells,AreaShape
Nuclei_RadialDistribution_MeanFrac_RNA_2of4,0.006170894928093601,Nuclei,RadialDistribution
Cells_RadialDistribution_RadialCV_mito_tubeness_15of20,0.0061416714340365225,Cells,RadialDistribution
Cells_RadialDistribution_FracAtD_mito_tubeness_1of20,0.00603013369710035,Cells,RadialDistribution
Cells_Intensity_MeanIntensityEdge_ER,0.00569069929836717,Cells,Intensity
Cells_RadialDistribution_MeanFrac_mito_tubeness_4of20,0.005572973264871897,Cells,RadialDistribution
Cells_Granularity_15_DNA,0.005402178767066549,Cells,Granularity
Cytoplasm_Granularity_15_DNA,0.005356945038823012,Cytoplasm,Granularity
Cytoplasm_AreaShape_Zernike_9_3,0.0052536361466003914,Cytoplasm,AreaShape
Cytoplasm_AreaShape_Orientation,0.005239699952570455,Cytoplasm,AreaShape
Cells_Intensity_IntegratedIntensityEdge_ER,0.005176235295096246,Cells,Intensity
Nuclei_RadialDistribution_MeanFrac_ER_1of4,0.0050567426293024,Nuclei,RadialDistribution
Cells_RadialDistribution_FracAtD_mito_tubeness_12of16,0.005047462505286343,Cells,RadialDistribution
Cells_AreaShape_Zernike_9_1,0.005033507479087608,Cells,AreaShape
Cells_AreaShape_Zernike_2_2,0.004980926512715606,Cells,AreaShape
Nuclei_Texture_Correlation_Mito_10_01_256,0.004956124212299723,Nuclei,Texture
Cells_RadialDistribution_MeanFrac_mito_tubeness_5of20,0.004923744237707329,Cells,RadialDistribution
Nuclei_RadialDistribution_MeanFrac_RNA_4of4,0.0049097849571372925,Nuclei,RadialDistribution
Nuclei_RadialDistribution_MeanFrac_DNA_4of4,0.004909511513921124,Nuclei,RadialDistribution
Nuclei_RadialDistribution_MeanFrac_DNA_2of4,0.004908058821477295,Nuclei,RadialDistribution
Cells_RadialDistribution_MeanFrac_mito_tubeness_4of16,0.00485205551206101,Cells,RadialDistribution
Cells_Intensity_LowerQuartileIntensity_ER,0.0048451028211794825,Cells,Intensity
Cells_Intensity_IntegratedIntensityEdge_RNA,0.004836467278697195,Cells,Intensity
Cytoplasm_Correlation_Correlation_ER_Mito,0.0047955445671037265,Cytoplasm,Correlation
Cytoplasm_Intensity_MedianIntensity_ER,0.0047917167573385605,Cytoplasm,Intensity
Nuclei_Granularity_15_DNA,0.004776508441209444,Nuclei,Granularity
Cells_Correlation_RWC_Mito_AGP,0.004773546951037133,Cells,Correlation
Cytoplasm_AreaShape_Zernike_4_2,0.004760470483701543,Cytoplasm,AreaShape
Cytoplasm_AreaShape_Solidity,0.004684392278687872,Cytoplasm,AreaShape
Cytoplasm_Intensity_LowerQuartileIntensity_ER,0.004684054270463613,Cytoplasm,Intensity
Nuclei_Granularity_11_ER,0.004667673628926942,Nuclei,Granularity
Cells_RadialDistribution_RadialCV_mito_tubeness_14of16,0.004658136547285332,Cells,RadialDistribution
Nuclei_RadialDistribution_MeanFrac_ER_2of4,0.004616936238698404,Nuclei,RadialDistribution
Nuclei_RadialDistribution_MeanFrac_RNA_1of4,0.004607682705578295,Nuclei,RadialDistribution
Cytoplasm_RadialDistribution_RadialCV_Mito_1of4,0.004577867394922838,Cytoplasm,RadialDistribution
Cells_RadialDistribution_RadialCV_mito_tubeness_15of16,0.004516821717968144,Cells,RadialDistribution
Cells_Granularity_10_AGP,0.004439478909932534,Cells,Granularity
Cells_RadialDistribution_MeanFrac_mito_tubeness_3of16,0.0044119530924678785,Cells,RadialDistribution
Nuclei_Correlation_RWC_ER_AGP,0.004395045613470886,Nuclei,Correlation
Cells_RadialDistribution_RadialCV_mito_tubeness_14of20,0.004389199239854601,Cells,RadialDistribution
Nuclei_RadialDistribution_RadialCV_RNA_1of4,0.004388486964931612,Nuclei,RadialDistribution
Nuclei_Granularity_2_ER,0.004355832009563788,Nuclei,Granularity
