feature,shap_importance,compartment,feature_type
Cells_AreaShape_Zernike_4_2,0.007156368338650541,Cells,AreaShape
Cells_AreaShape_Orientation,0.005690169167501154,Cells,AreaShape
Cytoplasm_AreaShape_Orientation,0.005573996341596025,Cytoplasm,AreaShape
Nuclei_RadialDistribution_MeanFrac_DNA_1of4,0.005197381468564605,Nuclei,RadialDistribution
Nuclei_RadialDistribution_MeanFrac_DNA_2of4,0.005089814732990427,Nuclei,RadialDistribution
Nuclei_RadialDistribution_FracAtD_DNA_2of4,0.0050131606695192335,Nuclei,RadialDistribution
Cells_AreaShape_Zernike_2_2,0.004955456060249292,Cells,AreaShape
Nuclei_AreaShape_Zernike_2_2,0.004861557723197621,Nuclei,AreaShape
Cytoplasm_Granularity_10_ER,0.004576733348461143,Cytoplasm,Granularity
Nuclei_RadialDistribution_RadialCV_AGP_3of4,0.004431453631740234,Nuclei,RadialDistribution
Cells_RadialDistribution_FracAtD_mito_tubeness_12of16,0.004402825478344832,Cells,RadialDistribution
Cells_Granularity_10_ER,0.004337945870317006,Cells,Granularity
Cells_AreaShape_Zernike_9_3,0.004234528941534726,Cells,AreaShape
Nuclei_Granularity_15_RNA,0.004206038158060567,Nuclei,Granularity
Nuclei_RadialDistribution_FracAtD_DNA_1of4,0.004182606073216967,Nuclei,RadialDistribution
Cytoplasm_RadialDistribution_FracAtD_mito_tubeness_19of20,0.004156405861472844,Cytoplasm,RadialDistribution
Cytoplasm_Correlation_RWC_DNA_RNA,0.0041150764114328406,Cytoplasm,Correlation
Nuclei_Correlation_RWC_RNA_DNA,0.004109943340273666,Nuclei,Correlation
Cells_AreaShape_Zernike_7_1,0.004103270774895853,Cells,AreaShape
Cytoplasm_AreaShape_Zernike_2_2,0.003976301730311076,Cytoplasm,AreaShape
Nuclei_RadialDistribution_FracAtD_DNA_4of4,0.003907100044525578,Nuclei,RadialDistribution
Cells_AreaShape_Zernike_5_1,0.003869958173589631,Cells,AreaShape
Cells_Granularity_10_AGP,0.003834322460918754,Cells,Granularity
Nuclei_Texture_InfoMeas2_AGP_3_02_256,0.003818653185984918,Nuclei,Texture
Cells_AreaShape_Zernike_6_6,0.003758913173639615,Cells,AreaShape
Cells_AreaShape_Zernike_9_1,0.003698504131347623,Cells,AreaShape
Cytoplasm_Granularity_15_RNA,0.0036772659784349215,Cytoplasm,Granularity
Cells_RadialDistribution_FracAtD_mito_tubeness_15of20,0.0036751696113164404,Cells,RadialDistribution
Cells_Granularity_15_RNA,0.0036369063027957183,Cells,Granularity
Nuclei_RadialDistribution_RadialCV_AGP_1of4,0.0035937222249452,Nuclei,RadialDistribution
Cells_RadialDistribution_MeanFrac_mito_tubeness_4of20,0.003585392665267721,Cells,RadialDistribution
Cytoplasm_AreaShape_Zernike_6_6,0.0035691875023725777,Cytoplasm,AreaShape
Cytoplasm_Granularity_10_AGP,0.003567049100051268,Cytoplasm,Granularity
Cytoplasm_RadialDistribution_FracAtD_mito_tubeness_15of16,0.003554077504314981,Cytoplasm,RadialDistribution
Nuclei_Texture_Variance_Mito_10_03_256,0.0035512711877319298,Nuclei,Texture
Cells_RadialDistribution_FracAtD_mito_tubeness_4of20,0.0035489321798172872,Cells,RadialDistribution
